Pattern,Duration
P4,1.470555556
P4,0.807777778
P3,4.112222222
P4,0.738333333
P4,0.915
P4,1.482222222
P3,11.59694444
P4,7.5825
P4,5.466944444
P4,15.94861111
P4,0.163055556
P4,1.469166667
P4,3.491944444
P4,1.724166667
P5,0.055555556
P4,0.205833333
P2,2.758611111
P5,0.001111111
P5,0.029722222
P5,0.005555556
P4,0.338611111
P2,1.173055556
P3,1.270833333
P5,1.076944444
P5,0.025555556
P2,5.839166667
P5,0.009166667
P4,0.016944444
P5,10.69277778
P3,0.886666667
P2,1.305277778
P2,3.830555556
P2,0.366666667
P3,0.084444444
P3,3.859722222
P2,3.631388889
P3,0.443611111
P2,1.491111111
P1,1.229722222
P1,0.774722222
P2,1.521666667
P2,0.121666667
P2,0.081111111
P2,0.104166667
P2,0.347222222
P2,0.300555556
P2,1.058888889
P2,1.026388889
P2,0.131944444
P2,0.199722222
P2,0.358333333
P2,0.323888889
P2,0.110277778
P2,0.665
P2,0.160277778
P2,0.0675
P2,0.449722222
P2,0.461944444
P2,0.158611111
P1,1.01
P2,0.150833333
P2,0.168055556
P2,0.130555556
P2,2.204722222
P3,0.074166667
P4,3.105555556
P4,0.311666667
P4,0.087222222
P4,0.175
P4,0.087777778
P4,0.816388889
P4,0.210833333
P4,0.367777778
P4,0.301666667
P4,0.033333333
P4,0.078333333
P4,0.104166667
P4,0.439722222
P4,0.030277778
P4,0.035277778
P4,0.165277778
P4,0.068611111
P4,0.499444444
P4,0.044166667
P4,0.038333333
P4,0.212777778
P4,0.062777778
P4,0.045555556
P4,0.415555556
P4,0.012222222
P5,0.018888889
P5,0.0425
P5,0.018333333
P5,0.010555556
P5,0.118611111
P3,0.1225
P3,0.236111111
P1,0.455555556
P3,0.049166667
P3,0.793333333
P3,0.075
P3,0.066111111
P3,0.035
P2,0.210555556
P2,0.302222222
P3,0.023611111
P3,0.05
P1,1.294166667
P3,0.046388889
P3,0.076111111
P3,0.020555556
P3,1.019722222
P3,0.108611111
P3,0.136944444
P1,0.231388889
P3,0.131666667
P3,4.399444444
P2,0.115277778
P1,0.459444444
P4,14.25666667
P5,0.015833333
P4,28.14027778
P4,1.160277778
P2,0.275277778
P2,0.2475
P4,0.219722222
P3,0.261944444
P3,34.09277778
P5,0.013888889
P5,0.007777778
P4,0.787777778
P4,1.481666667
P4,5.7575
P4,0.285277778
P4,32.41444444
P3,0.704166667
P5,0.010277778
P2,1.132222222
P5,0.005833333
P1,0.13
P4,0.053888889
P4,3.926944444
P1,0.303888889
P5,0.007777778
P4,2.948611111
P4,9.956388889
P2,0.370277778
P4,0.040833333
P4,1.353333333
P4,1.764444444
P5,1.931388889
P5,0.014166667
P4,0.010277778
P4,0.310833333
P4,0.24
P4,0.193888889
P4,0.049722222
P5,0.0125
P5,0.095277778
P4,1.12
P3,0.395277778
P4,9.107777778
P4,0.488333333
P3,0.072222222
P5,0.023055556
P4,0.270833333
P3,0.023611111
P3,0.409722222
P4,0.048611111
P4,0.145277778
P2,0.144444444
P4,1.488888889
P4,2.723055556
P4,0.012222222
P2,0.090277778
P2,0.540833333
P4,0.139444444
P4,0.092777778
P4,0.023611111
P4,3.169444444
P4,5.310833333
P4,0.123611111
P4,0.290555556
P5,0.056944444
P4,9.4075
P5,0.521111111
P5,0.004166667
P2,0.860555556
P4,9.135833333
P4,0.095277778
P4,0.317777778
P2,0.037222222
P4,0.092777778
P4,4.231944444
P3,0.756111111
P4,0.088611111
P4,2.065555556
P2,20.78722222
P2,0.373055556
P4,0.078055556
P2,2.353055556
P3,0.760277778
P4,4.595833333
P4,1.5175
P4,4.872777778
P3,0.069722222
P4,1.721944444
P2,0.454166667
P4,5.548055556
P2,0.605555556
P3,0.066111111
P5,0.028055556
P4,0.041111111
P2,6.740833333
P1,1.7675
P4,0.213611111
P4,0.070277778
P2,0.106111111
P4,0.037777778
P2,0.320277778
P4,19.25888889
P5,0.050277778
P4,0.351111111
P2,29.62333333
P4,9.950277778
P4,1.078333333
P4,0.033611111
P4,3.124444444
P2,12.73972222
P1,9.448611111
P4,3.248055556
P4,2.349166667
P3,3.037222222
P4,4.161388889
P4,0.564444444
P5,0.845555556
P1,10.50666667
P4,0.196388889
P5,0.082222222
P4,5.465833333
P4,8.113055556
P5,0.007222222
P2,51.3825
P5,0.008055556
P4,1.154166667
P4,19.33611111
P4,1.719166667
P4,3.295277778
P5,0.035
P2,0.375833333
P4,1.194722222
P2,0.229166667
P4,0.196944444
P3,0.007777778
P4,3.231944444
P2,0.224722222
P3,0.371111111
P2,0.101944444
P3,0.249722222
P2,0.86
P4,5.115833333
P2,0.186666667
P2,5.299722222
P2,0.657222222
P5,0.138888889
P4,3.475
P4,0.505277778
P2,0.276388889
P2,0.147222222
P2,1.980833333
P4,1.4275
P4,0.291666667
P1,1.548611111
P2,0.371666667
P2,0.201666667
P5,0.080555556
P2,4.018611111
P3,0.465555556
P3,2.450833333
P4,8.5075
P4,1.359444444
P5,0.171111111
P4,0.613888889
P2,3.539166667
P2,0.662777778
P3,1.042222222
P5,0.037222222
P5,0.126666667
P2,0.524722222
P5,0.094444444
P3,1.23
P3,7.229444444
P2,0.209166667
P4,13.2775
P4,1.779166667
P2,0.502222222
P5,1.448888889
P2,0.068888889
P2,0.245
P3,2.894166667
P4,0.134166667
P2,0.526388889
P3,0.0575
P5,0.346944444
P4,0.1925
P3,11.41638889
P3,0.400555556
P2,3.340833333
P5,0.347222222
P3,0.1975
P3,0.758055556
P4,0.060277778
P2,0.117222222
P4,0.421111111
P4,0.336666667
P3,0.056388889
P4,1.942222222
P1,1.6225
P4,0.046944444
P2,21.92944444
P2,0.763611111
P4,0.049444444
P4,0.800277778
P4,0.059444444
P5,2.131666667
P4,0.149722222
P4,0.449166667
P4,4.575555556
P2,15.38277778
P4,0.207222222
P4,0.113611111
P2,0.658888889
P3,0.797222222
P5,0.013055556
P3,1.314722222
P4,1.610277778
P1,1.264444444
P4,14.65083333
P5,0.013611111
P4,0.519444444
P4,6.128611111
P3,0.431111111
P4,8.5375
P4,0.729444444
P4,2.301111111
P4,1.247222222
P2,10.38833333
P4,6.803611111
P2,6.786388889
P3,0.093888889
P4,0.196944444
P1,14.515
P2,11.16083333
P5,0.016111111
P2,15.9625
P1,6.3775
P5,0.070833333
P3,0.324722222
P2,2.971388889
P2,3.419444444
P3,1.601666667
P4,18.68416667
P3,0.188055556
P2,3.393333333
P4,1.356944444
P3,1.176388889
P2,0.389166667
P4,0.421944444
P1,13.86027778
P5,0.052777778
P2,0.647777778
P3,0.626944444
P2,0.139166667
P4,0.921388889
P4,1.434722222
P4,0.118888889
P2,2.554444444
P3,0.549722222
P5,0.002777778
P5,0.018333333
P4,0.283888889
P2,0.451388889
P3,0.106388889
P5,0.117777778
P5,0.013333333
P4,0.160833333
P4,18.325
P3,0.316388889
P5,0.211666667
P4,2.328333333
P4,1.447222222
P5,0.504444444
P2,0.343888889
P2,0.087777778
P4,0.604444444
P4,0.168888889
P4,2.311666667
P4,0.305555556
P3,4.484444444
